DBA,BORO,BUILDING,STREET,ZIPCODE,address,"INSPECTION DATE","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG",SCORE,GRADE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"CAFE DI GIORNO",BROOKLYN,62,"AVENUE U",11223,"62 AVENUE U",11/01/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,40.59588,-73.982044,1,rooftop,62,"Ave U",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"PASTICCERIA ROCCO",BROOKLYN,9402,"4TH AVE",11209,"9402 4TH AVE",09/19/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,40.616671,-74.031066,1,rooftop,9402,"4th Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"AVA BREW",BROOKLYN,100,"WILLOUGHBY ST",11201,"100 WILLOUGHBY ST",05/23/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.692024,-73.984766,1,rooftop,100,"Willoughby St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"SUMNER CAFE",BROOKLYN,144,"DECATUR ST",11233,"144 DECATUR ST",06/06/17,09C,"Food contact surface not properly maintained.","Not Critical",12,A,40.680877,-73.93743,1,rooftop,144,"Decatur St",Brooklyn,NY,"Kings County",11233,US,"City of New York"
ROOTS,BROOKLYN,639,"5TH AVE",11215,"639 5TH AVE",03/09/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.662876,-73.991629,1,rooftop,639,"5th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,13,"GRAHAM AVENUE",11206,"13 GRAHAM AVENUE",07/06/17,09C,"Food contact surface not properly maintained.","Not Critical",12,A,40.701508,-73.942407,1,rooftop,13,"Graham Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"PASTICCERIA ROCCO",BROOKLYN,9402,"4TH AVE",11209,"9402 4TH AVE",09/19/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,A,40.616671,-74.031066,1,rooftop,9402,"4th Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"MILK & PULL",BROOKLYN,307,"MALCOLM X BLVD",11233,"307 MALCOLM X BLVD",07/15/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,40.681497,-73.928638,1,rooftop,307,"Malcolm X Blvd",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"DOUGHNUT PLANT",BROOKLYN,245,"FLATBUSH AVENUE",11217,"245 FLATBUSH AVENUE",02/27/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",12,A,40.680625,-73.974737,1,rooftop,245,"Flatbush Ave",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"Le Labo Cafe",BROOKLYN,120,"N 6TH ST",11249,"120 N 6TH ST",08/01/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",12,A,40.718078,-73.959796,1,rooftop,120,"N 6th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"PRIMROSE CAFE",BROOKLYN,147,"GREENE AVENUE",11238,"147 GREENE AVENUE",01/26/18,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,40.686783,-73.966215,1,rooftop,147,"Greene Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"ESPRESSO 77",BROOKLYN,410,"7TH AVE",11215,"410 7TH AVE",01/04/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.664401,-73.983851,1,rooftop,410,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"VIVI BUBBLE TEA",BROOKLYN,113,"COURT ST",11201,"113 COURT ST",12/22/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.690574,-73.991788,1,rooftop,113,"Court St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
BITTERSWEET,BROOKLYN,17890,"DEKALB AVENUE",11205,"17890 DEKALB AVENUE",03/09/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,40.689523,-73.966135,0.8,street_center,,"Dekalb Ave",Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
"CAFE NAGLES",BROOKLYN,630,"NOSTRAND AVE",11216,"630 NOSTRAND AVE",09/27/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",12,A,40.676746,-73.949977,1,rooftop,630,"Nostrand Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"COFFEE Z",BROOKLYN,30,"NEWKIRK PLZ",11226,"30 NEWKIRK PLZ",11/14/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,40.634646,-73.962877,1,rooftop,30,"Newkirk Plz",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"GREGORYS COFFEE",BROOKLYN,16,"COURT ST",11241,"16 COURT ST",11/15/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.693556,-73.990675,1,rooftop,16,"Court St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"IC BROOKLYN CAFE",BROOKLYN,251,"WILSON AVE",11237,"251 WILSON AVE",03/07/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.698154,-73.921009,1,rooftop,251,"Wilson Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"EVERYMAN ESPRESSO",BROOKLYN,162,"5TH AVE",11217,"162 5TH AVE",07/05/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.677874,-73.979634,1,rooftop,162,"5th Ave",Brooklyn,NY,"Kings County",11217,US,"City of New York"
SWEETLEAF,BROOKLYN,159,"FREEMAN ST",11222,"159 FREEMAN ST",12/13/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.734512,-73.955385,1,rooftop,159,"Freeman St",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,13,"GRAHAM AVENUE",11206,"13 GRAHAM AVENUE",07/06/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.701508,-73.942407,1,rooftop,13,"Graham Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"CHOCK FULL O' NUTS",BROOKLYN,1611,"AVENUE M",11230,"1611 AVENUE M",01/12/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,40.618279,-73.958716,1,rooftop,1611,"Ave M",Brooklyn,NY,"Kings County",11230,US,"City of New York"
"EAST SIDE CAFE",BROOKLYN,1150,"CARROLL ST",11225,"1150 CARROLL ST",12/07/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.667136,-73.951831,1,rooftop,1150,"Carroll St",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"YOUR HOUSE CAFE",BROOKLYN,6916,"4 AVENUE",11209,"6916 4 AVENUE",02/14/17,05B,"Harmful, noxious gas or vapor detected. CO ~1 3 ppm.",Critical,12,A,40.634267,-74.023877,1,rooftop,6916,"4th Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"CAFE NAGLES",BROOKLYN,630,"NOSTRAND AVE",11216,"630 NOSTRAND AVE",09/27/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,A,40.676746,-73.949977,1,rooftop,630,"Nostrand Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"LELLA ALIMENTARI",BROOKLYN,325,"MANHATTAN AVE",11211,"325 MANHATTAN AVE",08/23/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.715171,-73.946333,1,rooftop,325,"Manhattan Ave",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"IAN'S COFFEE SHOP",BROOKLYN,501,"NOSTRAND AVE",11216,"501 NOSTRAND AVE",09/20/17,02B,"Hot food item not held at or above 140Ã‚Âº F.",Critical,12,A,40.680198,-73.949389,1,rooftop,501,"Nostrand Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"OSLO COFFEE ROASTERS",BROOKLYN,133,"ROEBLING STREET",11211,"133 ROEBLING STREET",05/17/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.714627,-73.956636,1,rooftop,133,"Roebling St",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"CAFFE CAFE",BROOKLYN,8401,"3RD AVE",11209,"8401 3RD AVE",06/07/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.624871,-74.030317,1,rooftop,8401,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"PRIMROSE CAFE",BROOKLYN,147,"GREENE AVENUE",11238,"147 GREENE AVENUE",01/26/18,09C,"Food contact surface not properly maintained.","Not Critical",12,A,40.686783,-73.966215,1,rooftop,147,"Greene Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
CUP,BROOKLYN,978,"LORIMER STREET",11222,"978 LORIMER STREET",05/30/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.725308,-73.952524,1,rooftop,978,"Lorimer St",Brooklyn,NY,"Kings County",11222,US,"City of New York"
ROOTS,BROOKLYN,639,"5TH AVE",11215,"639 5TH AVE",03/09/17,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","Not Critical",12,A,40.662876,-73.991629,1,rooftop,639,"5th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"ATLAS CAFE",BROOKLYN,116,"HAVEMEYER STREET",11211,"116 HAVEMEYER STREET",01/03/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.712821,-73.956846,1,range_interpolation,116,"Havemeyer St",Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
"YOUR HOUSE CAFE",BROOKLYN,6916,"4 AVENUE",11209,"6916 4 AVENUE",02/14/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.634267,-74.023877,1,rooftop,6916,"4th Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"BROOKLYN KOLACHE CO",BROOKLYN,520,"DEKALB AVENUE",11205,"520 DEKALB AVENUE",01/30/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.690762,-73.955781,1,rooftop,520,"Dekalb Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"LELLA ALIMENTARI",BROOKLYN,325,"MANHATTAN AVE",11211,"325 MANHATTAN AVE",08/23/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.715171,-73.946333,1,rooftop,325,"Manhattan Ave",Brooklyn,NY,"Kings County",11211,US,"City of New York"
BITTERSWEET,BROOKLYN,17890,"DEKALB AVENUE",11205,"17890 DEKALB AVENUE",03/09/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.689523,-73.966135,0.8,street_center,,"Dekalb Ave",Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
"VIVI BUBBLE TEA",BROOKLYN,5924,"8TH AVE",11220,"5924 8TH AVE",04/25/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.635678,-74.009573,1,rooftop,5924,"8th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,527,"METROPOLITAN AVE",11211,"527 METROPOLITAN AVE",05/26/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.714184,-73.951188,1,rooftop,527,"Metropolitan Ave",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"COULEUR CAFE",BROOKLYN,435,"7 AVENUE",11215,"435 7 AVENUE",09/27/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,40.663376,-73.984327,1,rooftop,435,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"BROOKLYN KOLACHE CO",BROOKLYN,520,"DEKALB AVENUE",11205,"520 DEKALB AVENUE",01/30/18,06F,"Wiping cloths soiled or not stored in sanitizing solution.",Critical,12,A,40.690762,-73.955781,1,rooftop,520,"Dekalb Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"BLUE BOTTLE COFFEE",BROOKLYN,85,"DEAN ST",11201,"85 DEAN ST",12/19/17,05D,"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",Critical,12,A,40.687355,-73.989768,1,rooftop,85,"Dean St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"SEEDS OF LOVE",BROOKLYN,421,"COURT ST",11231,"421 COURT ST",03/23/17,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,12,A,40.678813,-73.997371,1,range_interpolation,421,"Court St",Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
"MIRROR TEA HOUSE",BROOKLYN,575,"UNION ST",11215,"575 UNION ST",01/29/18,06A,"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",Critical,12,A,40.678798,-73.98625,1,rooftop,575,"Union St",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"AVA BREW",BROOKLYN,100,"WILLOUGHBY ST",11201,"100 WILLOUGHBY ST",05/23/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.692024,-73.984766,1,rooftop,100,"Willoughby St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"COFFEE RX",BROOKLYN,6903,"3RD AVE",11209,"6903 3RD AVE",07/05/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,40.635506,-74.025973,1,rooftop,6903,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"MILK & PULL CAFE",BROOKLYN,181,"IRVING AVE",11237,"181 IRVING AVE",05/05/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.702065,-73.919508,1,rooftop,181,"Irving Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"GREGORYS COFFEE",BROOKLYN,16,"COURT ST",11241,"16 COURT ST",11/15/17,06A,"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",Critical,12,A,40.693556,-73.990675,1,rooftop,16,"Court St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"STILLWELL SOCCER SPORTS",BROOKLYN,1786,"STILLWELL AVENUE",11223,"1786 STILLWELL AVENUE",08/01/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.60285,-73.986658,1,rooftop,1786,"Stillwell Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"COFFEE Z",BROOKLYN,30,"NEWKIRK PLZ",11226,"30 NEWKIRK PLZ",11/14/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,12,A,40.634646,-73.962877,1,rooftop,30,"Newkirk Plz",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"BROMPTON CAFE",BROOKLYN,64,"N 9TH ST",11249,"64 N 9TH ST",05/18/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.720886,-73.95987,1,rooftop,64,"N 9th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
DAVIDsTEA,BROOKLYN,234,"7 AVENUE",11215,"234 7 AVENUE",05/17/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.669858,-73.97929,1,rooftop,234,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"Eat Morris",BROOKLYN,145,"BROOKLYN AVE",11213,"145 BROOKLYN AVE",03/07/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.674747,-73.944327,1,rooftop,145,"Brooklyn Ave",Brooklyn,NY,"Kings County",11213,US,"City of New York"
"ESPRESSO 77",BROOKLYN,410,"7TH AVE",11215,"410 7TH AVE",01/04/17,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,12,A,40.664401,-73.983851,1,rooftop,410,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
STARBUCKS,BROOKLYN,1973,"86 STREET",11214,"1973 86 STREET",05/10/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.604954,-73.998515,1,rooftop,1973,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"Le Labo Cafe",BROOKLYN,120,"N 6TH ST",11249,"120 N 6TH ST",08/01/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,40.718078,-73.959796,1,rooftop,120,"N 6th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"THE BUSHWICK DINER",BROOKLYN,299,"WYCKOFF AVE",11237,"299 WYCKOFF AVE",01/23/18,02B,"Hot food item not held at or above 140Ã‚Âº F.",Critical,12,A,40.700509,-73.912605,1,rooftop,299,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"CAFE DI GIORNO",BROOKLYN,62,"AVENUE U",11223,"62 AVENUE U",11/01/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,40.59588,-73.982044,1,rooftop,62,"Ave U",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"THE LITTLE SWEET CAFE",BROOKLYN,77B,"HOYT ST",11201,"77B HOYT ST",08/25/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.688125,-73.986641,1,rooftop,77,"Hoyt St",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"BROOKLYN ROASTING COMPANY",BROOKLYN,1,"DEKALB AVE",11201,"1 DEKALB AVE",01/04/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.690117,-73.983253,1,rooftop,1,"Dekalb Ave",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"SWALLOW CAFE",BROOKLYN,205,"N 9TH ST",11211,"205 N 9TH ST",03/09/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.671157,-73.990013,1,rooftop,205,"9th St",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"MOCHA MOCHA COFFEE",BROOKLYN,8602,"4TH AVE",11209,"8602 4TH AVE",08/09/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.622709,-74.0286,1,rooftop,8602,"4th Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"LONG ISLAND UNIVERSITY - BLACKBIRD CAFE",BROOKLYN,1,"UNIVERSITY PLAZA",11201,"1 UNIVERSITY PLAZA",07/12/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,40.691216,-73.981269,1,rooftop,1,"University Plz",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"FOUR & TWENTY BLACKBIRDS",BROOKLYN,634,"DEAN ST",11238,"634 DEAN ST",04/06/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",12,A,40.680367,-73.969325,1,rooftop,634,"Dean St",Brooklyn,NY,"Kings County",11238,US,"City of New York"
SWEETLEAF,BROOKLYN,159,"FREEMAN ST",11222,"159 FREEMAN ST",12/13/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.734512,-73.955385,1,rooftop,159,"Freeman St",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"ATLAS CAFE",BROOKLYN,116,"HAVEMEYER STREET",11211,"116 HAVEMEYER STREET",02/05/18,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,12,A,40.712821,-73.956846,1,range_interpolation,116,"Havemeyer St",Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
STARBUCKS,BROOKLYN,166,"7 AVENUE",11215,"166 7 AVENUE",11/24/17,10I,"Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",12,A,40.671987,-73.97751,1,rooftop,166,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"OUTPOST CAFE",BROOKLYN,1014,"FULTON ST",11238,"1014 FULTON ST",10/18/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.681964,-73.960259,1,rooftop,1014,"Fulton St",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"CAFFEINE UNDERGROUND",BROOKLYN,447,"CENTRAL AVE",11221,"447 CENTRAL AVE",11/27/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,40.692185,-73.914544,1,rooftop,447,"Central Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"MIRROR TEA HOUSE",BROOKLYN,575,"UNION ST",11215,"575 UNION ST",01/29/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.678798,-73.98625,1,rooftop,575,"Union St",Brooklyn,NY,"Kings County",11217,US,"City of New York"
GATHER,BROOKLYN,341,"7 AVENUE",11215,"341 7 AVENUE",05/01/17,04M,"Live roaches present in facility's food and/or non-food areas.",Critical,12,A,40.666533,-73.981685,1,rooftop,341,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"SUMNER CAFE",BROOKLYN,144,"DECATUR ST",11233,"144 DECATUR ST",06/06/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.680877,-73.93743,1,rooftop,144,"Decatur St",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"CHAMPION COFFEE",BROOKLYN,1107,"MANHATTAN AVE",11222,"1107 MANHATTAN AVE",12/20/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.736312,-73.955419,1,rooftop,1107,"Manhattan Ave",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"ATLAS CAFE",BROOKLYN,116,"HAVEMEYER STREET",11211,"116 HAVEMEYER STREET",02/05/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.712821,-73.956846,1,range_interpolation,116,"Havemeyer St",Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
"DOUGHNUT PLANT",BROOKLYN,245,"FLATBUSH AVENUE",11217,"245 FLATBUSH AVENUE",02/27/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.680625,-73.974737,1,rooftop,245,"Flatbush Ave",Brooklyn,NY,"Kings County",11217,US,"City of New York"
STARBUCKS,BROOKLYN,1973,"86 STREET",11214,"1973 86 STREET",05/10/17,05D,"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",Critical,12,A,40.604954,-73.998515,1,rooftop,1973,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"ATLAS CAFE",BROOKLYN,116,"HAVEMEYER STREET",11211,"116 HAVEMEYER STREET",01/03/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.712821,-73.956846,1,range_interpolation,116,"Havemeyer St",Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
